Model,Disabled_Layers,Disabled_Percentage,Trial,Accuracy,Block_Type
Resnet-18,7,87.5,24,8.203125,downsampling
Resnet-18,7,87.5,25,8.203125,downsampling
Resnet-18,7,87.5,26,7.2265625,downsampling
Resnet-18,7,87.5,27,8.203125,downsampling
Resnet-18,7,87.5,28,7.2265625,downsampling
Resnet-18,7,87.5,29,8.203125,downsampling
Resnet-18,7,87.5,30,9.5703125,downsampling
Resnet-18,8,100.0,1,8.203125,downsampling
Resnet-18,8,100.0,2,8.203125,downsampling
Resnet-18,8,100.0,3,8.203125,downsampling
Resnet-18,8,100.0,4,8.203125,downsampling
Resnet-18,8,100.0,5,8.203125,downsampling
Resnet-18,8,100.0,6,8.203125,downsampling
Resnet-18,8,100.0,7,8.203125,downsampling
Resnet-18,8,100.0,8,8.203125,downsampling
Resnet-18,8,100.0,9,8.203125,downsampling
Resnet-18,8,100.0,10,8.203125,downsampling
Resnet-18,8,100.0,11,8.203125,downsampling
Resnet-18,8,100.0,12,8.203125,downsampling
Resnet-18,8,100.0,13,8.203125,downsampling
Resnet-18,8,100.0,14,8.203125,downsampling
Resnet-18,8,100.0,15,8.203125,downsampling
Resnet-18,8,100.0,16,8.203125,downsampling
Resnet-18,8,100.0,17,8.203125,downsampling
Resnet-18,8,100.0,18,8.203125,downsampling
Resnet-18,8,100.0,19,8.203125,downsampling
Resnet-18,8,100.0,20,8.203125,downsampling
Resnet-18,8,100.0,21,8.203125,downsampling
Resnet-18,8,100.0,22,8.203125,downsampling
Resnet-18,8,100.0,23,8.203125,downsampling
Resnet-18,8,100.0,24,8.203125,downsampling
Resnet-18,8,100.0,25,8.203125,downsampling
Resnet-18,8,100.0,26,8.203125,downsampling
Resnet-18,8,100.0,27,8.203125,downsampling
Resnet-18,8,100.0,28,8.203125,downsampling
Resnet-18,8,100.0,29,8.203125,downsampling
Resnet-18,8,100.0,30,8.203125,downsampling
