Model,Disabled_Layers,Disabled_Percentage,Trial,Accuracy
VGG-16,10,76.9231,26,8.203125
VGG-16,10,76.9231,27,8.984375
VGG-16,10,76.9231,28,8.203125
VGG-16,10,76.9231,29,8.203125
VGG-16,10,76.9231,30,8.203125
VGG-16,11,84.6154,1,8.203125
VGG-16,11,84.6154,2,8.203125
VGG-16,11,84.6154,3,8.203125
VGG-16,11,84.6154,4,8.984375
VGG-16,11,84.6154,5,8.203125
VGG-16,11,84.6154,6,8.203125
VGG-16,11,84.6154,7,8.203125
VGG-16,11,84.6154,8,8.203125
VGG-16,11,84.6154,9,8.203125
VGG-16,11,84.6154,10,8.203125
VGG-16,11,84.6154,11,8.203125
VGG-16,11,84.6154,12,8.203125
VGG-16,11,84.6154,13,8.203125
VGG-16,11,84.6154,14,8.203125
VGG-16,11,84.6154,15,8.203125
VGG-16,11,84.6154,16,8.203125
VGG-16,11,84.6154,17,8.203125
VGG-16,11,84.6154,18,8.203125
VGG-16,11,84.6154,19,8.203125
VGG-16,11,84.6154,20,8.203125
VGG-16,11,84.6154,21,8.203125
VGG-16,11,84.6154,22,8.203125
VGG-16,11,84.6154,23,8.203125
VGG-16,11,84.6154,24,8.203125
VGG-16,11,84.6154,25,8.203125
VGG-16,11,84.6154,26,8.203125
VGG-16,11,84.6154,27,8.203125
VGG-16,11,84.6154,28,8.203125
VGG-16,11,84.6154,29,8.203125
VGG-16,11,84.6154,30,8.203125
VGG-16,12,92.3077,1,8.203125
VGG-16,12,92.3077,2,8.203125
VGG-16,12,92.3077,3,8.203125
VGG-16,12,92.3077,4,8.203125
VGG-16,12,92.3077,5,8.203125
VGG-16,12,92.3077,6,8.203125
VGG-16,12,92.3077,7,8.203125
VGG-16,12,92.3077,8,8.203125
VGG-16,12,92.3077,9,8.203125
VGG-16,12,92.3077,10,8.203125
VGG-16,12,92.3077,11,8.203125
VGG-16,12,92.3077,12,8.203125
VGG-16,12,92.3077,13,8.203125
VGG-16,12,92.3077,14,8.203125
VGG-16,12,92.3077,15,8.203125
VGG-16,12,92.3077,16,8.203125
VGG-16,12,92.3077,17,8.203125
VGG-16,12,92.3077,18,8.203125
VGG-16,12,92.3077,19,8.203125
VGG-16,12,92.3077,20,8.203125
VGG-16,12,92.3077,21,8.203125
VGG-16,12,92.3077,22,8.203125
VGG-16,12,92.3077,23,8.203125
VGG-16,12,92.3077,24,8.203125
VGG-16,12,92.3077,25,8.203125
VGG-16,12,92.3077,26,8.203125
VGG-16,12,92.3077,27,8.203125
VGG-16,12,92.3077,28,8.203125
VGG-16,12,92.3077,29,8.203125
VGG-16,12,92.3077,30,8.203125
VGG-16,13,100.0,1,8.203125
VGG-16,13,100.0,2,8.203125
VGG-16,13,100.0,3,8.203125
VGG-16,13,100.0,4,8.203125
VGG-16,13,100.0,5,8.203125
VGG-16,13,100.0,6,8.203125
VGG-16,13,100.0,7,8.203125
VGG-16,13,100.0,8,8.203125
VGG-16,13,100.0,9,8.203125
VGG-16,13,100.0,10,8.203125
VGG-16,13,100.0,11,8.203125
VGG-16,13,100.0,12,8.203125
VGG-16,13,100.0,13,8.203125
VGG-16,13,100.0,14,8.203125
VGG-16,13,100.0,15,8.203125
VGG-16,13,100.0,16,8.203125
VGG-16,13,100.0,17,8.203125
VGG-16,13,100.0,18,8.203125
VGG-16,13,100.0,19,8.203125
VGG-16,13,100.0,20,8.203125
VGG-16,13,100.0,21,8.203125
VGG-16,13,100.0,22,8.203125
VGG-16,13,100.0,23,8.203125
VGG-16,13,100.0,24,8.203125
VGG-16,13,100.0,25,8.203125
VGG-16,13,100.0,26,8.203125
VGG-16,13,100.0,27,8.203125
VGG-16,13,100.0,28,8.203125
VGG-16,13,100.0,29,8.203125
VGG-16,13,100.0,30,8.203125
